id,A,B,trial,rt,rt_log
P10,2,2,1,186.891124979723,5.23052622793931
P10,2,2,2,108.200315956184,4.68398428652072
P10,2,2,3,324.259768187294,5.78154494822404
P10,2,3,1,162.256796439919,5.08918024339669
P10,2,3,2,230.446767251769,5.44001989108708
P10,2,3,3,885.503275653667,6.78615615642967
P11,1,1,1,156.474054737847,5.05289021181375
P11,1,1,2,307.503046067295,5.72848499310741
P11,1,1,3,276.670230665274,5.62282629396224
P11,1,2,1,572.155050658023,6.34941002223157
P11,1,2,2,205.545435337449,5.32566710603065
P11,1,2,3,292.054269544497,5.6769396396039
P11,1,3,1,288.03295039156,5.6630748846733
P11,1,3,2,1100.43167581986,7.00345781436845
P11,1,3,3,720.465292896545,6.57989724342095
P11,2,1,1,128.216344704171,4.85371903015221
P11,2,1,2,365.145607631847,5.90029619905182
P11,2,1,3,146.511456001566,4.98710362336273
P11,2,2,1,637.966536099356,6.45828583071425
P11,2,2,2,159.190290447079,5.07010028189631
P11,2,2,3,274.525687333443,5.61504483519959
P11,2,3,1,277.324591375395,5.62518863017334
P11,2,3,2,469.80536294592,6.1523184875405
P11,2,3,3,1195.45166935502,7.08627935894193
P12,1,1,1,370.204761030539,5.91405626075508
P12,1,1,2,474.129914603326,6.16148136558324
P12,1,1,3,215.413600146143,5.37255990175484
P12,1,2,1,103.519517755319,4.63976017227303
P12,1,2,2,1108.95569139323,7.01117403289416
P12,1,2,3,274.378963833872,5.61451023050002
P12,1,3,1,193.33289020366,5.26441352281969
P12,1,3,2,315.132106571235,5.75299193684836
P12,1,3,3,425.887422673976,6.05417504532142
P12,2,1,1,510.60275195383,6.23559189444
P12,2,1,2,149.850087693529,5.00963537897124
P12,2,1,3,482.356719686407,6.17868392266166
P12,2,2,1,555.628450634364,6.32009981661445
P12,2,2,2,294.586287781613,5.68557195773689
P12,2,2,3,162.795290748765,5.09249352654542
P12,2,3,1,380.680467422041,5.94196035506417
P12,2,3,2,657.737364839818,6.48880571006629
P12,2,3,3,757.594045954671,6.63014768275264
P13,1,1,1,216.37797716753,5.37702677269706
P13,1,1,2,578.220385931323,6.35995508653823
P13,1,1,3,135.113528155595,4.90611537433939
P13,1,2,1,885.232013723837,6.78584977304919
P13,1,2,2,349.6090983026,5.85681566833576
P13,1,2,3,34.343746546025,3.53641995103319
P13,1,3,1,334.588822914194,5.81290238367379
P13,1,3,2,504.016097690274,6.22260820742296
P13,1,3,3,194.99715905283,5.27298498949777
P13,2,1,1,638.386293806378,6.45894357630359
P13,2,1,2,204.119828619214,5.31870721658741
P13,2,1,3,611.030794692293,6.41514735837992
P13,2,2,1,199.654998670276,5.29659087036223
P13,2,2,2,83.8243526215904,4.42872356934711
P13,2,2,3,637.048417723436,6.45684566166861
P13,2,3,1,748.433217014743,6.61798197745393
P13,2,3,2,257.726331257704,5.55189829038846
P13,2,3,3,160.995872221701,5.08137872628127
P14,1,1,1,141.074780537188,4.94929010820762
P14,1,1,2,286.177102169718,5.65661085752655
P14,1,1,3,377.741348392011,5.93420969789126
P14,1,2,1,186.290668907694,5.22730818997473
P14,1,2,2,226.766259231676,5.42391979196665
P14,1,2,3,114.206067077384,4.73800442258292
P14,1,3,1,1124.38033757462,7.02498735184161
P14,1,3,2,265.729048978035,5.58247717677852
P14,1,3,3,938.603145567395,6.84439275469435
P14,2,1,1,628.882443155939,6.4439443444098
P14,2,1,2,515.123422606488,6.24440652749751
P14,2,1,3,255.21642367683,5.5421119055003
P14,2,2,1,75.2435020924727,4.32072954896993
P14,2,2,2,368.304516867227,5.90891008747364
P14,2,2,3,183.392829158082,5.21163045959276
P14,2,3,1,532.799018018803,6.27814427616668
P14,2,3,2,910.390504554927,6.81387363334725
P14,2,3,3,226.506215082773,5.42277238420567
P15,1,1,1,325.021991172909,5.78389284518797
P15,1,1,2,512.962094749696,6.240201953064
P15,1,1,3,242.559237153295,5.49124595746759
P15,1,2,1,282.929050554713,5.64519616145788
P15,1,2,2,196.160359415947,5.27893248500528
P15,1,2,3,121.196755425916,4.79741530286365
P15,1,3,1,435.868490457583,6.07734057045948
P15,1,3,2,1674.00043376537,7.42297151016848
P15,1,3,3,30.7340369970976,3.42537073741642
P15,2,1,1,232.702925352211,5.44976264157521
P15,2,1,2,302.591307186056,5.71238307386316
P15,2,1,3,340.658679183279,5.83088103519624
P15,2,2,1,405.031194619119,6.00396408789127
P15,2,2,2,862.245021321315,6.75953947774556
P15,2,2,3,699.295143476265,6.55007288984982
P15,2,3,1,218.53919308976,5.38696537185867
P15,2,3,2,824.375438335719,6.71462605519028
P15,2,3,3,254.486759033125,5.53924880726235
P16,1,1,1,411.363237038415,6.01947661259984
P16,1,1,2,702.690976649861,6.55491721714497
P16,1,1,3,267.651031583726,5.58968401105847
P16,1,2,1,219.324783041717,5.39055365880487
P16,1,2,2,24.0764644747538,3.18123478552277
P16,1,2,3,350.768335108132,5.86012599162384
P16,1,3,1,447.281526865819,6.10318821038145
P16,1,3,2,95.0362943741528,4.55425886468325
P16,1,3,3,408.660670009895,6.01288515400887
P16,2,1,1,135.96367380966,4.9123877457166
P16,2,1,2,664.892377701191,6.49962518951534
P16,2,1,3,698.066417454678,6.54831425218205
P16,2,2,1,700.989576242399,6.55249301708437
P16,2,2,2,1070.56813346321,6.97594475239693
P16,2,2,3,909.256614140866,6.81262735812259
P16,2,3,1,711.64027656856,6.56757255420199
P16,2,3,2,593.88954536289,6.38669335150417
P16,2,3,3,525.469789128697,6.2642926988998
P17,1,1,1,108.026891901079,4.68238019521316
P17,1,1,2,197.041704106404,5.28341540230515
P17,1,1,3,73.8822339398114,4.30247239228336
P17,1,2,1,282.418180019798,5.64338888038763
P17,1,2,2,373.320607634375,5.92243758834643
P17,1,2,3,39.5910167612511,3.67860224306285
P17,1,3,1,530.574970065695,6.27396126770309
P17,1,3,2,898.825736707553,6.8010891744223
P17,1,3,3,680.555027503153,6.52290868216267
P17,2,1,1,158.414179662397,5.06521299344451
P17,2,1,2,71.4157474779707,4.26851839794008
P17,2,1,3,112.564707199845,4.7235282314044
P17,2,2,1,1400.54534622045,7.24461697276967
P17,2,2,2,216.87466135828,5.37931958923952
P17,2,2,3,1902.13392346313,7.55073165254195
P17,2,3,1,124.588619233842,4.82501726376956
P17,2,3,2,677.849272570494,6.51892495138252
P17,2,3,3,829.496861933272,6.72081932654109
P18,1,1,1,187.418114735701,5.2333420286103
P18,1,1,2,334.147106208481,5.81158133376241
P18,1,1,3,83.6948933263239,4.42717796400122
P18,1,2,1,175.939867207969,5.17014227306676
P18,1,2,2,1004.29168676172,6.91203778272062
P18,1,2,3,486.620358542707,6.1874842678275
P18,1,3,1,979.15954512784,6.88669459669693
P18,1,3,2,262.397283212775,5.56985970340648
P18,1,3,3,907.09126058324,6.81024306311659
P18,2,1,1,449.563067651198,6.10827615030149
P18,2,1,2,105.080773994076,4.65472933055036
P18,2,1,3,518.078634705589,6.2501270351893
P18,2,2,1,204.60980335921,5.3211047671263
P18,2,2,2,107.984161825514,4.68198456660634
P18,2,2,3,1404.69689782491,7.24757682740908
P18,2,3,1,222.316024299804,5.40409990249189
P18,2,3,2,774.286846224271,6.65194240729057
P18,2,3,3,964.766655694132,6.87188626452797
P19,1,1,1,1036.86851390539,6.94396040549936
P19,1,1,2,292.428458072754,5.67822004896998
P19,1,1,3,612.126875834083,6.41693957448024
P19,1,2,1,427.448592639875,6.05783403001127
P19,1,2,2,578.224611349744,6.3599623941377
P19,1,2,3,331.855957390698,5.80470101148955
P19,1,3,1,316.879305013882,5.75852096009578
P19,1,3,2,350.120842510317,5.85827835920864
P19,1,3,3,380.172096240177,5.94062403504161
P19,2,1,1,110.166881974249,4.7019963250022
P19,2,1,2,271.083804886778,5.60242801619854
P19,2,1,3,525.071503297032,6.26353445007394
P19,2,2,1,309.010945141351,5.73337669743985
P19,2,2,2,180.572819912078,5.1961341308311
P19,2,2,3,354.092978523378,5.86955952984297
P19,2,3,1,876.840307684752,6.77632488649289
P19,2,3,2,1194.69411671456,7.08564546232337
P19,2,3,3,1115.92748536691,7.01744116356035
P20,1,1,1,97.8903399983502,4.5838478725368
P20,1,1,2,82.6477590998925,4.41458771077052
P20,1,1,3,34.5406009625964,3.54213547160007
P20,1,2,1,794.136363132832,6.67725518848207
P20,1,2,2,131.467880031951,4.87876256346974
P20,1,2,3,403.618635999188,6.00047046184156
P20,1,3,1,91.0708882546024,4.51163819506903
P20,1,3,2,541.528650821731,6.29439597514612
P20,1,3,3,645.453325249283,6.46995289977039
P20,2,1,1,64.0969390858478,4.16039661061559
P20,2,1,2,667.050883489409,6.50286633009648
P20,2,1,3,113.282845597232,4.72988774966197
P20,2,2,1,549.593880245577,6.3091796059218
P20,2,2,2,1889.12156890494,7.54386722165358
P20,2,2,3,114.828658691286,4.74344109289854
P20,2,3,1,783.732259056021,6.66406745571775
P20,2,3,2,237.745837101397,5.47120219170921
P20,2,3,3,1635.91477799404,7.39995742411519
P21,1,1,1,106.829373487824,4.67123292136907
P21,1,1,2,271.733016333112,5.60482002665402
P21,1,1,3,276.119146678665,5.62083246343018
P21,1,2,1,410.968027705475,6.01851541999946
P21,1,2,2,370.438860399539,5.91468841195444
P21,1,2,3,1181.14570801413,7.07424018539836
P21,1,3,1,659.739092287161,6.49184444214659
P21,1,3,2,354.660765871805,5.87116174351558
P21,1,3,3,560.977770405127,6.32968127979131
P21,2,1,1,432.151978831734,6.06877732922723
P21,2,1,2,678.312376377785,6.51960791395657
P21,2,1,3,629.609316787173,6.44509949494029
P21,2,2,1,685.283376837469,6.52983244153042
P21,2,2,2,1128.76634362304,7.02888058402663
P21,2,2,3,417.55107302028,6.03440686739663
P21,2,3,1,684.894488695081,6.52926479529614
P21,2,3,2,558.818790743,6.32582525377341
P21,2,3,3,1390.03713449894,7.23708574123475
P22,1,1,1,114.979495230012,4.74475381011778
P22,1,1,2,111.024982663962,4.7097552450328
P22,1,1,3,362.346592741975,5.89260119228761
P22,1,2,1,337.710097005178,5.8221878262788
P22,1,2,2,78.7357056343134,4.36609674547501
P22,1,2,3,970.413815722477,6.87772259467037
P22,1,3,1,1354.67754614574,7.21131873166948
P22,1,3,2,282.651064974459,5.64421315093468
P22,1,3,3,251.317515094635,5.52671714006996
P22,2,1,1,281.067444321585,5.63859465591397
P22,2,1,2,100.507821343431,4.61023554878373
P22,2,1,3,187.96984378639,5.23628154457209
P22,2,2,1,173.796205318369,5.15788337898171
P22,2,2,2,428.999849210826,6.06145656743804
P22,2,2,3,1056.8021429048,6.96300278093581
P22,2,3,1,544.140496163217,6.29920747851719
P22,2,3,2,1818.0125366128,7.50549917054027
P22,2,3,3,583.775760016395,6.36951693651722
P23,1,1,1,190.58967889748,5.25012283916356
P23,1,1,2,839.109959188571,6.73234175769913
P23,1,1,3,240.535056420004,5.48286584366331
P23,1,2,1,253.987085622173,5.53728342171874
P23,1,2,2,244.730425862077,5.50015730216365
P23,1,2,3,121.428222000596,4.79932332278276
P23,1,3,1,1040.42254588492,6.94738220374043
P23,1,3,2,711.529736188137,6.56741721031524
P23,1,3,3,483.017099859732,6.18005205646219
P23,2,1,1,509.149418500814,6.23274152651904
P23,2,1,2,644.649513479244,6.46870677915129
P23,2,1,3,191.284908224835,5.25376398271649
P23,2,2,1,69.7853241501274,4.24542373193266
P23,2,2,2,128.80031325714,4.85826324578795
P23,2,2,3,367.825565039132,5.90760881774577
P23,2,3,1,472.820658993496,6.15871616013199
P23,2,3,2,676.696164416155,6.51722237515082
P23,2,3,3,657.07374110552,6.48779625131187
P24,1,1,1,89.1591044447302,4.49042246410574
P24,1,1,2,225.877306551203,5.41999196048705
P24,1,1,3,403.643631721267,6.00053238898244
P24,1,2,1,121.365331649951,4.7988052665897
P24,1,2,2,367.59379386005,5.90697850747734
P24,1,2,3,259.276382524702,5.55789460673312
P24,1,3,1,1181.65093705379,7.0746678388305
P24,1,3,2,1066.21992395114,6.97187489109377
P24,1,3,3,713.808240275714,6.57061435522551
P24,2,1,1,372.587308854207,5.92047139654125
P24,2,1,2,50.9057530693812,3.92997594407278
P24,2,1,3,395.658216757367,5.98055074958217
P24,2,2,1,407.005444388974,6.00882656223021
P24,2,2,2,102.464478038871,4.62951618279582
P24,2,2,3,208.017912662152,5.33762419456137
P24,2,3,1,385.148838731714,5.95362985368788
P24,2,3,2,899.359954081592,6.801683348197
P24,2,3,3,769.406398095287,6.64561930597804
P25,1,1,1,252.565672130221,5.53167130254292
P25,1,1,2,405.129709278171,6.00420728565375
P25,1,1,3,208.27115013994,5.33884083718618
P25,1,2,1,890.569401673136,6.79186103531685
P25,1,2,2,388.544336189726,5.96240728476282
P25,1,2,3,222.180949293285,5.40349213677603
P25,1,3,1,42.8851867133185,3.75852646824703
P25,1,3,2,1324.07561416868,7.18846984526552
P25,1,3,3,194.792291067383,5.27193381684932
P25,2,1,1,96.6206419507459,4.57079240318146
P25,2,1,2,192.013329488076,5.25756479403508
P25,2,1,3,639.575138017155,6.46080410906164
P25,2,2,1,792.271797643972,6.67490451178544
P25,2,2,2,464.6330658351,6.14124798834858
P25,2,2,3,338.278779757903,5.82387034771201
P25,2,3,1,857.527871151255,6.75405368131219
P25,2,3,2,584.451114151708,6.37067314037707
P25,2,3,3,498.735217973052,6.21207532961559
P26,1,1,1,30.7450773896734,3.4257298965489
P26,1,1,2,209.777913064996,5.34604941427631
P26,1,1,3,98.7019185458378,4.5921043844049
P26,1,2,1,109.237549278157,4.69352486206382
P26,1,2,2,262.768659022551,5.57127402159361
P26,1,2,3,24.3152860196892,3.19110520688297
P26,1,3,1,36.4672054216181,3.59641337511241
P26,1,3,2,256.336662104915,5.54649166685822
P26,1,3,3,352.512935059579,5.86508731678355
P26,2,1,1,67.9593548382586,4.21890980350173
P26,2,1,2,947.893160291175,6.85424179578909
P26,2,1,3,183.425462756554,5.2118083874621
P26,2,2,1,830.396451157191,6.72190323874786
P26,2,2,2,623.885261227721,6.43596647522449
P26,2,2,3,272.074018184619,5.60607415495527
P26,2,3,1,260.195688106116,5.56143399448113
P26,2,3,2,443.09949492706,6.0937943383426
P26,2,3,3,331.425291451243,5.80340241907275
P27,1,1,1,211.595355542367,5.35467575051059
P27,1,1,2,334.773599878278,5.81345448209607
P27,1,1,3,403.585337919469,6.00038795957246
P27,1,2,1,280.950142216795,5.63817722375774
P27,1,2,2,304.49507818894,5.7186549234362
P27,1,2,3,209.677099833328,5.3455687275256
P27,1,3,1,278.638510545821,5.62991528060067
P27,1,3,2,551.813321437513,6.31320980327777
P27,1,3,3,431.884794589255,6.06815887348735
P27,2,1,1,105.27241364131,4.6565514061025
P27,2,1,2,102.992952253306,4.63466056116337
P27,2,1,3,588.286761164459,6.37721451807217
P27,2,2,1,357.801186950847,5.87997748842755
P27,2,2,2,244.883478257688,5.50078249846346
P27,2,2,3,255.929867974129,5.54490345372147
P27,2,3,1,131.727501551992,4.88073540663047
P27,2,3,2,186.35224917257,5.22763869546643
P27,2,3,3,123.786924436671,4.81856173622879
P28,1,1,1,51.7151112977265,3.94575002696371
P28,1,1,2,112.112726532164,4.71950485202109
P28,1,1,3,176.516967561946,5.17341700524827
P28,1,2,1,145.175024985771,4.97794008336604
P28,1,2,2,328.841701547564,5.79557648466406
P28,1,2,3,467.650177849312,6.1477205331848
P28,1,3,1,175.886544074037,5.16983915122809
P28,1,3,2,406.617641973757,6.0078732892686
P28,1,3,3,72.3531150914489,4.28155850801031
P28,2,1,1,203.111909598183,5.31375710595223
P28,2,1,2,523.960718138729,6.26141671612689
P28,2,1,3,578.23371185824,6.35997813272215
P28,2,2,1,360.952630221682,5.88874673150053
P28,2,2,2,239.689515611566,5.47934440085739
P28,2,2,3,838.44676571107,6.73155109172378
P28,2,3,1,388.852610371276,5.96320037817301
P28,2,3,2,1221.58713700733,7.10790622422172
P28,2,3,3,55.6722501562397,4.01948182092661
P29,1,1,1,613.164459084601,6.41863318557331
P29,1,1,2,78.1745508332511,4.35894415767023
P29,1,1,3,205.231887068983,5.32414049629707
P29,1,2,1,633.468208481104,6.45120981457314
P29,1,2,2,780.033872120184,6.65933734453587
P29,1,2,3,421.99239620788,6.04498729540894
P29,1,3,1,586.7036728153,6.37451987603716
P29,1,3,2,1140.04024763403,7.03881884570746
P29,1,3,3,120.621035289004,4.79265369104855
P29,2,1,1,558.809710307779,6.32580900430373
P29,2,1,2,481.848259379433,6.1776292499206
P29,2,1,3,496.410717097358,6.20740364273752
P29,2,2,1,215.199757649812,5.37156670212441
P29,2,2,2,212.548452062252,5.35916997207892
P29,2,2,3,369.467169724002,5.91206188589684
P29,2,3,1,544.349542192726,6.29959158131044
P29,2,3,2,157.437664796485,5.05902960085455
P29,2,3,3,911.834605300519,6.81545861979058
P30,1,1,1,865.295083897212,6.76307058621115
P30,1,1,2,82.8047606462508,4.41648555546606
P30,1,1,3,86.5260116662019,4.46044508163684
P30,1,2,1,117.300463231043,4.76473870476538
P30,1,2,2,563.574216292967,6.33429903073987
P30,1,2,3,1276.897487309,7.15218857662308
P30,1,3,1,182.857362478996,5.20870640891464
P30,1,3,2,629.251550909812,6.44453109870816
P30,1,3,3,634.616909500368,6.45302152471337
P30,2,1,1,69.8622083110981,4.24652484940153
P30,2,1,2,290.771943769118,5.67253926153146
P30,2,1,3,114.047132471091,4.73661180567947
P30,2,2,1,85.4163396366693,4.44753741313331
P30,2,2,2,22.8485382274526,3.12888714275352
P30,2,2,3,548.215461896898,6.30666838831752
P30,2,3,1,522.888228394013,6.25936772878542
P30,2,3,2,191.780139712915,5.25634961023145
P30,2,3,3,356.907582261652,5.87747687504952
