Subject,Gender,Chocolate,Distance,is_outlier
37,male,yes,7.887193285,False
38,male,no,7.499500728,False
38,male,yes,7.467934032,False
39,male,no,8.256809269,False
39,male,yes,8.258737328,False
40,male,no,7.140863429,False
40,male,yes,7.166278573,False
41,male,no,7.723421617,False
41,male,yes,7.722525705,False
42,male,no,7.670459111,False
42,male,yes,7.692416347,False
43,male,no,7.857412302,False
43,male,yes,7.888417636,False
44,male,no,7.869772585,False
44,male,yes,7.882339037,False
45,male,no,7.440329565,False
45,male,yes,7.460467751,False
46,male,no,7.73938947,False
46,male,yes,7.743530973,False
47,male,no,7.689079537,False
47,male,yes,7.709798158,False
48,male,no,7.980639052,False
48,male,yes,8.012014087,False
49,male,no,8.133549283,False
49,male,yes,8.164559119,False
50,male,no,8.168980681,False
50,male,yes,8.169752123,False
51,male,no,7.454285585,False
51,male,yes,7.451743293,False
52,male,no,7.787648994,False
52,male,yes,7.797541136,False
53,male,no,7.322570153,False
53,male,yes,7.335241334,False
54,male,no,7.351158097,False
54,male,yes,7.373403609,False
55,male,no,7.767721095,False
55,male,yes,7.763806154,False
56,male,no,8.310414736,False
56,male,yes,8.319382365,False
57,male,no,7.475774969,False
57,male,yes,7.51315718,False
58,male,no,7.90721023,False
58,male,yes,7.881112833,False
59,male,no,7.676541905,False
59,male,yes,7.711084072,False
60,male,no,8.15635792,False
60,male,yes,8.175623847,False
61,male,no,7.364999318,False
61,male,yes,7.387937462,False
62,male,no,7.763241425,False
62,male,yes,7.765079042,False
63,male,no,7.947708445,False
63,male,yes,7.963009382,False
64,male,no,8.181479675,False
64,male,yes,8.163439037,False
65,male,no,8.332471258,False
65,male,yes,8.330143439,False
66,male,no,7.79401056,False
66,male,yes,7.784233201,False
67,male,no,7.210456305,False
67,male,yes,7.237743831,False
68,male,no,7.484116658,False
68,male,yes,7.490642867,False
69,male,no,7.376065235,False
69,male,yes,7.388492476,False
70,male,no,8.614078761,False
70,male,yes,8.62268816,False
71,male,no,7.525063278,False
71,male,yes,7.551653922,False
72,male,no,8.006008971,False
72,male,yes,8.050133977,False
73,male,no,7.676238363,False
73,male,yes,7.710790107,False
74,male,no,8.083234861,False
74,male,yes,8.083390676,False
75,male,no,7.488567811,False
75,male,yes,7.497224836,False
76,male,no,7.259699965,False
76,male,yes,7.255739393,False
77,male,no,7.24664182,False
77,male,yes,7.244726782,False
78,male,no,7.937586699,False
78,male,yes,7.954998067,False
79,male,no,7.691383413,False
79,male,yes,7.706145442,False
80,male,no,7.698040961,False
80,male,yes,7.698871555,False
81,male,no,8.25733471,False
81,male,yes,8.290062927,False
82,male,no,7.86952067,False
82,male,yes,7.880916212,False
83,male,no,7.822724885,False
83,male,yes,7.844713991,False
84,male,no,8.328222803,False
84,male,yes,8.354074185,False
85,male,no,7.475920089,False
85,male,yes,7.48969015,False
86,male,no,8.021175696,False
86,male,yes,8.023182422,False
87,male,no,8.049455353,False
87,male,yes,8.063728128,False
88,male,no,7.684869137,False
88,male,yes,7.675747013,False
89,male,no,7.844242663,False
89,male,yes,7.85956225,False
90,male,no,7.339617529,False
90,male,yes,7.334177881,False
91,male,no,7.344784788,False
91,male,yes,7.35649238,False
92,male,no,7.795578834,False
92,male,yes,7.788266426,False
93,male,no,8.016980375,False
93,male,yes,8.040216432,False
94,male,no,8.691007307,False
94,male,yes,8.709394014,False
95,male,no,7.520432262,False
95,male,yes,7.529930979,False
96,male,no,7.835699797,False
96,male,yes,7.836730797,False
97,male,no,7.745571774,False
97,male,yes,7.715439168,False
98,male,no,7.068780894,False
98,male,yes,7.079923473,False
99,male,no,7.599875051,False
99,male,yes,7.590047835,False
100,male,no,7.120167521,False
100,male,yes,7.100722814,False
101,female,no,6.446549549,False
101,female,yes,6.441936067,False
102,female,no,6.077296876,True
102,female,yes,6.101638792,False
103,female,no,6.550085496,False
103,female,yes,6.550132896,False
104,female,no,6.656297567,False
104,female,yes,6.63969376,False
105,female,no,6.711080204,False
105,female,yes,6.718642412,False
106,female,no,6.173818577,False
106,female,yes,6.16990878,False
107,female,no,6.566524606,False
107,female,yes,6.562759842,False
108,female,no,6.456710517,False
108,female,yes,6.45341401,False
109,female,no,6.690933609,False
109,female,yes,6.692361887,False
110,female,no,6.612042909,False
110,female,yes,6.606342742,False
111,female,no,6.71887497,False
111,female,yes,6.72562328,False
112,female,no,6.393229751,False
112,female,yes,6.368056828,False
113,female,no,6.359152842,False
113,female,yes,6.35217452,False
114,female,no,6.764634852,False
114,female,yes,6.758309919,False
115,female,no,5.682746877,False
115,female,yes,5.674130931,False
116,female,no,6.241204311,False
116,female,yes,6.240885369,False
117,female,no,5.982065384,False
117,female,yes,5.986082275,False
118,female,no,6.29393453,False
118,female,yes,6.282051584,False
119,female,no,6.649972282,False
119,female,yes,6.639347721,False
120,female,no,6.70375209,False
120,female,yes,6.711135993,False
121,female,no,6.071188455,False
121,female,yes,6.074158486,False
122,female,no,6.267991115,False
122,female,yes,6.252505404,False
123,female,no,6.474577327,False
123,female,yes,6.463005072,False
124,female,no,6.321968505,False
124,female,yes,6.315021306,False
125,female,no,6.528330785,False
125,female,yes,6.499471074,False
126,female,no,6.560104481,False
126,female,yes,6.541812408,False
127,female,no,6.093943451,False
127,female,yes,6.106059948,False
128,female,no,6.367473393,False
128,female,yes,6.349441868,False
129,female,no,5.688515823,False
129,female,yes,5.690912069,False
130,female,no,6.803383797,False
130,female,yes,6.789357981,False
131,female,no,6.207878609,False
131,female,yes,6.196754309,False
132,female,no,6.007615974,False
132,female,yes,6.006693928,False
133,female,no,6.332340604,False
133,female,yes,6.310043658,False
134,female,no,5.940213643,False
134,female,yes,5.927735992,False
135,female,no,6.423376738,False
135,female,yes,6.401089978,False
136,female,no,6.227394315,False
136,female,yes,6.209978554,False
137,female,no,7.163721543,False
137,female,yes,7.150069429,False
138,female,no,6.804695217,False
138,female,yes,6.778115187,False
139,female,no,5.573354558,False
139,female,yes,5.539778821,True
140,female,no,6.574451136,False
140,female,yes,6.548281923,False
141,female,no,5.938464463,False
141,female,yes,5.9247278,False
142,female,no,6.336029607,False
142,female,yes,6.311550916,False
143,female,no,6.481908405,False
143,female,yes,6.448643107,False
144,female,no,6.675152649,False
144,female,yes,6.667111851,False
145,female,no,6.344462451,False
145,female,yes,6.3012222,False
146,female,no,6.949856475,False
146,female,yes,6.947044238,False
147,female,no,6.249110771,False
147,female,yes,6.254352035,False
148,female,no,6.513855328,False
148,female,yes,6.521331853,False
149,female,no,6.655114427,False
149,female,yes,6.636940689,False
150,female,no,6.457634947,False
150,female,yes,6.435182551,False
151,female,no,6.718725019,False
151,female,yes,6.694697186,False
152,female,no,6.538877227,False
152,female,yes,6.519454281,False
153,female,no,6.155227332,False
153,female,yes,6.15299855,False
154,female,no,5.809080962,False
154,female,yes,5.81355551,False
155,female,no,7.05305105,False
155,female,yes,7.03761954,False
156,female,no,6.218859292,False
156,female,yes,6.188186542,False
157,female,no,6.45615893,False
157,female,yes,6.446805781,False
158,female,no,6.639350117,False
158,female,yes,6.605239424,False
159,female,no,6.446956329,False
159,female,yes,6.446353474,False
160,female,no,6.093850097,False
160,female,yes,6.090903965,False
161,female,no,6.249570231,False
161,female,yes,6.271220368,False
162,female,no,6.366603983,False
162,female,yes,6.343942183,False
163,female,no,6.918509794,False
163,female,yes,6.907746167,False
164,female,no,6.125637967,False
164,female,yes,6.104106409,False
165,female,no,6.684601943,False
165,female,yes,6.670425996,False
166,female,no,6.530345212,False
166,female,yes,6.518110382,False
167,female,no,6.344380248,False
167,female,yes,6.331868065,False
168,female,no,6.068141556,False
168,female,yes,6.043521916,False
169,female,no,6.341174634,False
169,female,yes,6.321162111,False
170,female,no,6.402755929,False
170,female,yes,6.386749243,False
171,female,no,5.907573114,False
171,female,yes,5.916879484,False
172,female,no,6.462052418,False
172,female,yes,6.471085646,False
173,female,no,6.149439601,False
173,female,yes,6.140906094,False
174,female,no,6.369601813,False
174,female,yes,6.384565271,False
175,female,no,6.534980105,False
175,female,yes,6.549400261,False
176,female,no,6.112772415,False
176,female,yes,6.113052216,False
177,female,no,6.344264518,False
177,female,yes,6.323562054,False
178,female,no,6.538329195,False
178,female,yes,6.529551126,False
179,female,no,5.790734661,False
179,female,yes,5.772924032,False
180,female,no,6.774589906,False
180,female,yes,6.758519596,False
181,female,no,7.246774838,False
181,female,yes,7.22673887,False
182,female,no,6.746896625,False
182,female,yes,6.730556484,False
183,female,no,6.306551717,False
183,female,yes,6.308188907,False
184,female,no,6.553505777,False
184,female,yes,6.550163931,False
185,female,no,6.070930179,False
185,female,yes,6.048814044,False
186,female,no,7.045045564,False
186,female,yes,7.044380979,False
187,female,no,6.729517654,False
187,female,yes,6.728230629,False
188,female,no,6.701009724,False
188,female,yes,6.681790909,False
189,female,no,6.118013719,False
189,female,yes,6.102676391,False
190,female,no,6.527379488,False
190,female,yes,6.52195588,False
191,female,no,6.239178166,False
191,female,yes,6.220960144,False
192,female,no,6.311112888,False
192,female,yes,6.317357852,False
193,female,no,6.236490285,False
193,female,yes,6.214064923,False
194,female,no,6.067799911,False
194,female,yes,6.059905784,False
195,female,no,6.121154519,False
195,female,yes,6.089312942,False
196,female,no,6.354928252,False
196,female,yes,6.32478228,False
197,female,no,5.840256061,False
197,female,yes,5.835491295,False
198,female,no,6.617927223,False
198,female,yes,6.614089305,False
199,female,no,6.369517499,False
199,female,yes,6.374986022,False
200,female,no,6.655013825,False
200,female,yes,6.638787899,False
201,female,no,6.507299125,False
201,female,yes,6.520765661,False
202,female,no,6.583970856,False
202,female,yes,6.579279906,False
203,female,no,5.925574305,False
203,female,yes,5.916209185,False
204,female,no,6.070133137,False
204,female,yes,6.060840907,False
205,female,no,6.279458485,False
205,female,yes,6.256396677,False
206,female,no,6.45196772,False
206,female,yes,6.45418444,False
207,female,no,6.813496051,False
207,female,yes,6.799327961,False
208,female,no,6.316190061,False
208,female,yes,6.300210016,False
209,female,no,6.850693022,False
209,female,yes,6.823600314,False
210,female,no,6.591351814,False
210,female,yes,6.560665758,False
211,female,no,6.815059973,False
211,female,yes,6.795041962,False
212,female,no,6.458779298,False
212,female,yes,6.453757709,False
213,female,no,6.21671649,False
213,female,yes,6.182570075,False
214,female,no,5.925834251,False
214,female,yes,5.902644208,False
215,female,no,6.46854622,False
215,female,yes,6.449256627,False
216,female,no,6.704796873,False
216,female,yes,6.69610314,False
217,female,no,6.316919273,False
217,female,yes,6.314914147,False
218,female,no,6.243191469,False
218,female,yes,6.225236394,False
219,female,no,6.329220273,False
219,female,yes,6.315273584,False
220,female,no,6.031113121,False
220,female,yes,6.028418483,False
221,female,no,6.262665193,False
221,female,yes,6.246523666,False
222,female,no,6.373128297,False
222,female,yes,6.352033031,False
223,female,no,6.436060689,False
223,female,yes,6.42907852,False
224,female,no,6.415776306,False
224,female,yes,6.381021267,False
225,female,no,6.629407841,False
225,female,yes,6.621122368,False
226,female,no,6.444796819,False
226,female,yes,6.4420192,False
227,female,no,7.01483031,False
227,female,yes,7.017800792,False
228,female,no,6.522754031,False
228,female,yes,6.50405542,False
229,female,no,7.040663315,False
229,female,yes,7.033906039,False
230,female,no,6.177312774,False
230,female,yes,6.155679255,False
231,female,no,6.603162097,False
231,female,yes,6.587296854,False
232,female,no,6.325743851,False
232,female,yes,6.309428186,False
233,female,no,6.625488471,False
233,female,yes,6.611077185,False
234,female,no,6.605549813,False
234,female,yes,6.579616093,False
235,female,no,5.669151752,False
235,female,yes,5.655883059,False
236,female,no,5.960617398,False
236,female,yes,5.944540968,False
237,female,no,5.935252666,False
237,female,yes,5.909910869,False
238,female,no,6.556485528,False
238,female,yes,6.544494457,False
239,female,no,6.908313142,False
239,female,yes,6.906614958,False
240,female,no,6.308787913,False
240,female,yes,6.31832714,False
241,female,no,6.689291716,False
241,female,yes,6.680472089,False
242,female,no,6.598816644,False
242,female,yes,6.592983312,False
243,female,no,6.071086509,False
243,female,yes,6.03675186,False
244,female,no,6.556272973,False
244,female,yes,6.540364952,False
245,female,no,6.168339417,False
245,female,yes,6.140976022,False
246,female,no,6.944370444,False
246,female,yes,6.925833735,False
247,female,no,6.410729964,False
247,female,yes,6.407458255,False
248,female,no,6.981748429,False
248,female,yes,6.970282418,False
249,female,no,6.282309756,False
249,female,yes,6.258473911,False
250,female,no,6.632113431,False
250,female,yes,6.594101916,False
